id,category,text
0,건강,뭐 서양 약 들 로 처방 받으면 건강 더 안 좋아
1,건강,남성 쪽 으로 건강 안 좋나 보네
2,건강,뭔 데 자신감 넘치네
3,건강,쟤 한테 물어보면 될 거 아냐
4,건강,난 탈모 약 좀 먹어야 될 거 같아
5,건강,이는 탈모 약 먹어서 탈모 나아도 괜찮을 듯
6,건강,자꾸나 머리털 로 뭐라 하지 마라
7,건강,스트레스 받지 마 건강 안 좋아
8,건강,스트레스 만 병 의 근원 그러니까 보고 운동 라고 스트레스 주지 마
9,건강,스트레스 받으면서 운동 하면 운동 으로 스트레스 풀려고 해서 더 운동 잘 된대
10,건강,그게 맞냐 이중 스트레스 잖아
11,건강,그건 너무 변태 적 인 성향 이야
12,건강,난 편안하고 싶어
13,건강,적당한 운동 은 뭐 좋다고 하다못해 길거리 산책 하는 것 두
14,건강,산책 시간 씩 하는데 괜찮아
15,건강,너무 건강 좋다 못 해 팔딱 거리 본데
16,건강,나도 걷는 거 개 좋아함 두정역 에서 쌍용역 까지 걸어갔었어
17,건강,여친 이랑 전화하면 기본 시간 이라
18,건강,역 에서 역 까지는 지하철 타고 가라 고 있는 거야
19,건강,걷고 싶을 때 있지 않아
20,건강,소화 안될 때 그럴 때
21,건강,밤 밥 먹고 배부르면 산책 하고 자면 꿀
22,건강,우선 그건 시간 있어야 하는 거 아니야
23,건강,시간 있으려면 돈 많아야 하고 결국 건강 돈 이야
24,건강,빨리 더 추워지기 전 무슨 수 를 써서라도 운동 시켜야겠다
25,건강,추우면 추어 서 못 하잖아 훌라우프 해
26,건강,허리 랑 목 이랑 팔목 아파 요즘 건강 최하 타치
27,건강,요즘 도수 치료 받고 싶어
28,건강,지금 아빠 다리 시간 째 허벅지 아파
29,건강,우리 아빠 되겠네
30,건강,아빠 다리 무릎 엄청 안 좋다며
31,건강,무릎 연골 늘어나서 안 좋대
32,건강,관절 조심해야 함 우리 엄마 봐 고생 한다
33,건강,우리나라 에서 아빠 다리 안 하고 어케 살
34,건강,엄마 다리는 뭔가 불편해 의자 앉아도 아빠 다리 편하단 말
35,건강,인정 난 한쪽 은 아빠 다리 한쪽 은 무릎 세우고 다리 올려서 팔 괴고 있는 게 좋음
36,건강,엄마 다리는 못 해 난 너무 불편 하드 라
37,건강,그게 엄마 다리 인데 이는 잘 모르나 봐
38,건강,엄마 다리는 인어공주 마냥 다리 놓는 거 잖아
39,건강,그게 엄마 다리 나도 이처럼 알았는데
40,건강,내 아는 엄마 다리는 다리 하나 구부린 건데
41,건강,우린 엄마 다르니까 그럴 수 있지
42,건강,말 한 거 할머니 다리 아니냐 그렇게 생각 함
43,건강,엄마 다르니까 그럴 수 있지 우리 엄마 똥똥 해서 인어 다리 안 돼
44,건강,인어 다리 로 합의 본 거야
45,건강,인어 상상 속 하나 니까
46,건강,그게 뭐 인어 다리 면 바로 알 지
47,건강,쨌든 바른 자세 로 앉자 건강 의 첫 걸음
48,건강,항상 해주는 말 거북목 치료 비 휜 척추 치료 비 몇 천
49,건강,그게 맞지 건강 챙기자
50,건강,거북목 은 고 치기 힘들어 분 만에 원상 복구 된다구
51,건강,보험 들어 놓은 거 있나
52,건강,들어 놔야지
53,건강,나도 두 개 들어 놨다
54,건강,뭐 들었는데 난 실비 랑 암 보험 쪽 으로 들어 놨다
55,건강,종합 보험 이랑 치아 보험
56,건강,실비 잘 타 먹나
57,건강,나도 치아 보험 들어야 되는데
58,건강,치아 보험 은 들어 놓으면 좋겠더라
59,건강,한 년 들어 놓으면 그때 부터 혜택 있던데
60,건강,지 얼 만큼 됐어
61,건강,지금 년 좀 넘었으
62,건강,치아 보험 혜택 좋아
63,건강,나름 혜택 좋은 것 같은딩
64,건강,나도 혜택 괜찮은 거 보고 들어야겠다
65,건강,늙으면 치아 돈 많이 든다 카더라
66,건강,맞다 그래서 나도 우리 아빠 들어줬다 인플란트 때문
67,건강,아버지 인플란트 하셨나
68,건강,인플란트 돈 엄청 깨진다고 듣긴 들었다
69,건강,아직 안 하셨다
70,건강,견적 받아 보 니까 천이백 인가 그렇더라
71,건강,정도 로 비싸
72,건강,너무 비싸다
73,건강,치료 수술 받은 적 있나
74,건강,맹장 수술 했었지 생각 만 해도 아프다
75,건강,언제 걸렸었대
76,건강,입사 하기 전
77,건강,그러면 그렇게 오래 되지도 않았네 어쩌다가
78,건강,며칠 배 아프길래 이러다 말 줄 알았는데 내과 가보 니까 큰 병원 가보 라 해서 알았다
79,건강,큰 병원 가서 바로 수술 한 거야
80,건강,다행히 당일 수술 했다
81,건강,빨리 발견 하고 가서 다행 이다
82,건강,한 삼일 은 참았다
83,건강,수술 하고 입원 해 있었겠네
84,건강,일주일 정도 있었다 방구 끼 고 퇴원 했지
85,건강,맹장 수술 면 방구 끼는 거가
86,건강,가스 배출 해야지
87,건강,수술 자국 남아있어
88,건강,아직 흉터 남아있다
89,건강,나중 없어지겠지
90,건강,최근 에는 병원 간 적 없지
91,건강,너무 튼튼한 거 같은데
92,건강,나도 없는 것 같다 아프면 안됨
93,건강,아프면 안 되지 건강해야지
94,건강,요새 계속 코 맹맹해
95,건강,니 약해서 많이 아플 거 같다
96,건강,지금 잠도 잘 못 자서 완전 면역 력 마이너스
97,건강,왜 안 자노
98,건강,폰 본다고 안 자는 거 아니가
99,건강,그런 것 있고 오늘 경주 놀러 와서 설레서
100,건강,경주월드 간다 하지 않았나
101,건강,맞다 경주월드 사람 많음
102,건강,거기 있는 놀이기구 탔음
103,건강,아닝 한 개 탄 듯
104,건강,돈 아깝다 타야지
105,건강,군것질 많이 해서 토 할 것 같음
106,건강,먹으러 가는 거
107,건강,운동 가서는 사람 많나
108,건강,퇴근 하고 와서 사람 은 많아
109,건강,사람 많으면 건강 염려 증 생길 듯
110,건강,마스크 답답하고
111,건강,맞네 마스크 끼 고 해야겠네
112,건강,어쩔 수 없이 끼 고 있어야지
113,건강,벗는 사람 은 없 제
114,건강,아직 그런 사람 들 못 봤어
115,건강,나도 다음 달 부터 헬스 갈 생각 인데 걱정 되노
116,건강,집 근처 다니는 거야
117,건강,근방 다닐려 구
118,건강,혼자 다니나 하는 거야
119,건강,헬스장 요가 있고 필라테스 있대
120,건강,헬스장 좋은 곳 가나 보네
121,건강,나름 괜찮던데 가격 은 싸다
122,건강,우리 헬스장 은 그런 거 없는데
123,건강,일 다니면서 운동 하기 힘들 제
124,건강,힘들지 회사 에서 운동 하는 거지
125,건강,회사 에서 운동 하나
126,건강,움직이면 운동 아니겠나
127,건강,그게 운동
128,건강,스트레칭 쫌 하지
129,건강,기지개 이런 거 하지
130,건강,맞다 수시로 기지개 펴줘야 된다 나도
131,건강,니 운동 하나 매일 앉아 있잖아
132,건강,앉아있어서 자꾸 다리 붓는다
133,건강,다리 마사지 이런 거 찾아봐라 유튜브 로
134,건강,찾아는 보는데 꾸준히 거든
135,건강,내 다리는 효과 없다
136,건강,먹는 약 같은 것 있다 아니가
137,건강,약도 있는데 약 은 몸 안 좋을까 봐 안 먹어
138,건강,아프지는 않나 어떡할려고
139,건강,다리 붓기 만 하고 아프진 않다
140,건강,다행 이지 나중 아픈 거 아니가
141,건강,운동 은 몇 시 쯤 해
142,건강,퇴근 하고 집 가서 밥 먹고 놀다 보면 한 여덟 시 쯤 하는 거 같다
143,건강,시 쯤 산책 나가는 거야
144,건강,그때 가야 사람 좀 없더라
145,건강,갔다 오면 몇 시야
146,건강,시 될 걸
147,건강,몇 바퀴 돈
148,건강,시간 쯤 은 운동 하네
149,건강,니 산책 좀 해 라
150,건강,그래야지 몸 너무 무겁다
151,건강,니 건강 위해 해야 된다
152,건강,맞다 자꾸 쳐지고 운동 해야 된다
153,건강,다이어트 목적 으로 운동 하고 니 건강 위해 운덩 하고
154,건강,맞다 근육 쪄야 된다
155,건강,그건 걷는 걸 로 안 되지 않나
156,건강,걷는 거 유산 소라 서 힘든 운동 해야 됨
157,건강,니 체력 으로 버틸 수 있나
158,건강,요즘 빈혈 땜 힘들다
159,건강,빈혈 약 챙겨 먹고 있어
160,건강,빈혈 약 말고 철분 제 챙겨 먹고 있어
161,건강,나도 기립 성 빈혈 때문 고생 인데
162,건강,나도 앉았다 일어나면 띵해서 어지러워
163,건강,생리 때 만 되면 더 심해져서 큰일 이야
164,건강,나도 평소 엔 괜찮은데 생리 전 그렇게 어지럽 더 라고
165,건강,몸 건강 지금 부터 챙겨야겠네
166,건강,철분 제 말고 또 챙겨 먹는 영 양제 있어
167,건강,챙겨 먹는 거 따로 없어 넌 있어
168,건강,오메가 랑 프로바이오틱스 매일 챙겨 먹고 있어
169,건강,주변 오메가 챙겨 먹는 사람 많더라
170,건강,언니 지금 부터 오메가 챙겨 먹는 게 좋아
171,건강,혹시 어디 꺼 먹어
172,건강,그런 거 잘 몰라서
173,건강,내 좀 이따 집 들어가면 내꺼 사진 찍어서 보내줄게
174,건강,고마워 나도 걸 로 사야지
175,건강,무조건 내꺼 따라서 사지 말고 참고 만 해
176,건강,건강 위 해서는 안 먹어야지 난 간이 안 좋은가 봐
177,건강,글 면 또 적당히 마셔야죠
178,건강,해독 안 돼 얼굴 금방 빨개지고
179,건강,형 은 많이 마시면 안되겠다
180,건강,젤 처음 술 마셨을 때 잔 먹고 토함
181,건강,거 요 나름
182,건강,엄청 거임 얘 들 계속 맥 여서
183,건강,어제 술 안 마신 게 신의 한수
184,건강,어제 마셨으면 오늘 죽었다
185,건강,다행 이네 요 들 왜케 마셔
186,건강,몰라 들 잘 마시니까 별로 타격 없어
187,건강,명 이서 마신 거 에요
188,건강,여자 둘 마셨지 뭐 남자 애도 백신 차 맞은 상태 라서
189,건강,대박 이네 요 얼마나 마셨어요
190,건강,소주 를 대 꼬리 로 사서 모르겠어
191,건강,여자 들 대단하네
192,건강,건강검진 받음 건강검진 받으러 병원 가야 하는데
193,건강,나도 건강검진 받으러 가야 하는데
194,건강,달 전 건강검진 은 아니더라도 검사 받아서 또 해야 하나 싶긴 한데
195,건강,국가 에서 하는 커 안 해야 함
196,건강,입원 하면서 까지 찍었거든
197,건강,안 해도 되지 않을까
198,건강,맞 제 건강검진 하면서 받는 검사 들 받았거든
199,건강,안 해도 될 듯 대장 내시경 받아 봐야 되는데
200,건강,또 받아 봐야 겨우 달 전이 라서
201,건강,맞어 혹시 대장 내시경 해본 적 있어
202,건강,대장 내시경 받아야지 이제 우리 대니까 하긴 해야 함
203,건강,그치 용종 같은 거 왠지 나올 거 같음
204,건강,받기 전 굶어야 하지 않음
205,건강,맞어 래야 한다더라 구 그리고 꽤 비싸더라
206,건강,대장 내시경 올해 받으러 갈 거야 가격 어쩔 거야
207,건강,실비 되는지 모르겠네 안 되려나
208,건강,니 사랑니 뽑았나
209,건강,개 났었는데 교정 할 때 양치 힘들다고 해서 뺏어
210,건강,아직 오른쪽 위아래 두 개 남아있는데
211,건강,난 똑바르게 잘 났었거든
212,건강,왼쪽 뽑았을 때 너무 아팠어서 걱정 된다
213,건강,썩으면 뽑고 아니면 냅 두면 돼
214,건강,안 뽑아도 상관 없는 건가
215,건강,스페어 라 생각 하고
216,건강,누워서 난 거 불편하니까 뽑는 거고 아님 상관없음
217,건강,예전 사랑니 뽑았을 때 마취 덜 됐던 거 같아 아무래도
218,건강,사랑니 특히 신경 쪽 이라서 큰 병원 에서 예약 하고 잘 뽑아야 된다고 하더랑
219,건강,너무 아파서 회사 마치 고 늦게 여 병원 간 거 라 선택 권 없었지
220,건강,썩거나 불편한 게 아니면 냅 둬
221,건강,치과 에서도 뽑을 필요 없다고 해
222,건강,아아 그렇구만 아직 안 뽑은 사랑니 아프진 않아서 일단 뒀닼
223,건강,잘 했다
224,건강,대신 끝 부분 원래 양치 하기 힘든 부분 이니까 신경 만 써주면 됑
225,건강,치과 치료 너무 무서운 것 같다
226,건강,관리 잘 해야겠다
227,건강,양치 필수 가글 해주 공
228,건강,근 디 마스크 써서 눈 만 보이 니까 좋긴 한데 감기 안 걸리고 건강 면 에서도 좋은 듯
229,건강,그치 오히려 다른 전염병 들 은 감염 률 줄었대 마스크 의 순 기능
230,건강,하도 앉아 있었더니 엉덩이 부셔 지고 있는 거 같아 스트레칭 필요해
231,건강,부셔 지고 있는 걸 수도 수술 받아야 한다 이제
232,건강,스트레칭 우리 저 고무줄 있는데 활용 해서 잘 해봐
233,건강,망했다 엉덩이 살 많아서 방심했다 내 건강 돌려줘
234,건강,이렇게 오래 앉아있으면 치질 생기는 거 아님
235,건강,푹신한 소파 같은데 앉아있으면 좀 낫 지 않을까
236,건강,큰일 났다 나도 이제 도넛 방석 써야 되나
237,건강,치질 생겨 본 적 없어서 모르겠는데 도넛 방석 써도 아파서 못 앉을걸
238,건강,자기 치질 아니라 변비 잖아 윽 오늘 은 항문 건강 좀 챙겼어
239,건강,친구 형 치질 이었는데 매번 마사지 하고 오느라 학원 늦게 옴
240,건강,친구 형 은 뭐데 오늘 똥 한번 못 싼 거 알 고 놀리나 베
241,건강,히 익 미안 난 오늘 하루 종일 배 아파서 죽는 줄 알았어
242,건강,똥 잘나와도 일일 한번 씩 싸면 그것 변비 래
243,건강,난 일 한번 싸는데 토끼 똥 으로 간신히 몇 개 쌈
244,건강,그니까 담 검사 한번 할게 건강 위해 서
245,건강,락토핏 챙겨 먹어 한번 한 포 먹어 봐
246,건강,락토핏 뭐 여 인터넷 으로 살 수 있음
247,건강,집 유산균 쟁 여 놨는데 먹으라 해도 안 먹어
248,건강,화장품 가게서도 팔 유산균 이야 맛있어
249,건강,난 내 입안 맛있는 것 만 넣어
250,건강,유산균 야쿠르트 맛 맛있어 나도 맛 으로 먹
251,건강,락토핏 딱 분유 맛 같아
252,건강,스트레스 만 병 의 근원 이야
253,건강,스트레스 때문 생긴 탈모 로 몇 년 긴머리 여 포니테일 못 함 머리 비어 서
254,건강,믿진 못 하겠어 광고 에서 못 할 말 뭐
255,건강,그런지 몰랐네
256,건강,나이 드니까 머리털 건강 은 신경 쓰게 되네 슬프지 않니
257,건강,맞어 뭐 건강 은 잃으면 돌아오지 않아 어려워
258,건강,젊을 때 관리 하는 게 맞는 듯
259,건강,우리 엄마 대 때 머리 구멍 난 거 아직 있더라
260,건강,난 머리털 얇아서 더 신경 쓰임
261,건강,난 다행히 모발 은 엄청 두껍고 억센 편 인데 그래서 매직 잘 안 먹고 뭘 해도 안 먹어
262,건강,난 모발 은 얇고 숱 많은 곱슬 이라 노답
263,건강,난 직 모 라서 파마 한 달 컷
264,건강,고데기에 매직 염색 탈색 매직 그렇게 했는데도 모발 굵어서 정도 라고 하시더라
